Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s1from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s1.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      11.2069       2.8531401      1.80647
      11.2253       2.9966199      1.64055
      11.2438       3.0759599      1.44732
      11.2624       3.1191299      1.25401
      11.2810       3.1234400      1.09361
      11.2997       3.1122200     0.911852
      11.3184       3.0474100     0.791288
      11.3372       3.0130401     0.674157
      11.3561       2.9430001     0.576448
      11.3750       2.8792701     0.500992
      11.3940       2.8247700     0.447249
      11.4130       2.7631500     0.383111
      11.4322       2.7082000     0.363021
      11.4513       2.6724300     0.314296
      11.4706       2.6194401     0.291257
      11.4899       2.5844700     0.257259
      11.5093       2.5370700     0.239065
      11.5287       2.5016301     0.217129
      11.5482       2.4628999     0.210161
      11.5678       2.4401400     0.196688
      11.5874       2.4149599     0.182527
      11.6071       2.3882799     0.163873
      11.6269       2.3629701     0.148547
      11.6468       2.3220601     0.132961
      11.6667       2.2999401     0.143478
      11.6866       2.2825000     0.130302
      11.7067       2.2675900     0.130249
      11.7268       2.2475300     0.109724
      11.7470       2.2279601     0.112028
      11.7672       2.2091801    0.0929020
      11.7876       2.1886401    0.0988450
      11.8080       2.1763999    0.0779400
      11.8284       2.1459100    0.0789100
      11.8490       2.1287899    0.0745210
      11.8696       2.1142099    0.0851460
      11.8902       2.1125600    0.0659240
      11.9110       2.0779800    0.0610720
      11.9318       2.0657799    0.0686600
      11.9527       2.0556901    0.0676200
      11.9737       2.0443299    0.0633810
      11.9947       2.0351300    0.0582090
      12.0158       2.0114501    0.0475820
      12.0370       1.9957900    0.0607790
      12.0583       1.9888700    0.0559510
      12.0796       1.9796900    0.0599580
      12.1011       1.9687901    0.0465530
      12.1226       1.9497100    0.0543490
      12.1441       1.9431900    0.0491610
      12.1658       1.9260499    0.0549400
      12.1875       1.9212199    0.0555500
      12.2093       1.9154201    0.0576100
      12.2312       1.9056100    0.0435620
      12.2531       1.8825001    0.0518790
      12.2752       1.8778700    0.0582000
      12.2973       1.8766600    0.0671280
      12.3195       1.8809900    0.0509430
      12.3418       1.8584800    0.0461800
      12.3641       1.8489500    0.0479800
      12.3866       1.8390800    0.0536600
      12.4091       1.8366400    0.0484900
      12.4317       1.8237799    0.0493800
      12.4544       1.8165200    0.0442800
      12.4771       1.8023100    0.0529990
      12.5000       1.8077800    0.0463500
      12.5229       1.7836300    0.0400220
      12.5460       1.7765501    0.0517800
      12.5691       1.7733400    0.0513000
      12.5922       1.7664900    0.0468200
      12.6155       1.7525001    0.0475910
      12.6389       1.7456599    0.0524700
      12.6623       1.7436000    0.0530690
      12.6859       1.7330000    0.0425920
      12.7095       1.7134700    0.0520410
      12.7332       1.7160200    0.0600100
      12.7570       1.7139200    0.0528300
      12.7809       1.6962301    0.0473910
      12.8049       1.6889900    0.0644790
      12.8289       1.6985300    0.0536590
      12.8531       1.6803600    0.0443300
      12.8774       1.6667300    0.0401700
      12.9017       1.6463000    0.0474890
      12.9261       1.6414599    0.0510410
      12.9507       1.6260999    0.0567290
      12.9753       1.6251800    0.0595800
      13.0000       1.6084000    0.0587100
      13.0248       1.6012700    0.0678800
      13.0497       1.5957299    0.0709500
      13.0747       1.5915999    0.0662710
      13.0998       1.5727800    0.0637300
      13.1250       1.5584600    0.0671700
      13.1503       1.5404100    0.0766300
      13.1757       1.5373100    0.0833590
      13.2012       1.5208600    0.0805100
      13.2267       1.5029200    0.0875190
      13.2524       1.4882801    0.0957100
      13.2782       1.4674500    0.0911400
      13.3041       1.4212400     0.114077
      13.3301       1.4119600     0.154832
      13.3562       1.3921100     0.174497
      13.3823       1.3733600     0.233334
      13.4086       1.4026700     0.293500
      13.4350       1.4556000     0.317430
      13.4615       1.4989901     0.309228
      13.4881       1.5317301     0.270163
      13.5148       1.4973500     0.226422
      13.5417       1.4713000     0.236278
      13.5686       1.4449800     0.220721
      13.5956       1.3909301     0.239763
      13.6228       1.3518699     0.275944
      13.6500       1.3097700     0.332069
      13.6774       1.2849500     0.412688
      13.7048       1.2784400     0.517255
      13.7324       1.3193500     0.650490
      13.7601       1.4419301     0.778287
      13.7879       1.6297700     0.821209
      13.8158       1.8078800     0.784879
      13.8438       1.9509100     0.658737
      13.8720       1.9974999     0.522283
      13.9002       2.0037899     0.399754
      13.9286       1.9748900     0.312784
      13.9571       1.9428600     0.240372
      13.9857       1.8934600     0.192567
      14.0144       1.8546799     0.169353
      14.0432       1.8305399     0.142340
      14.0722       1.7824600     0.118632
      14.1012       1.7552600     0.128620
      14.1304       1.7399200     0.116142
      14.1597       1.7204900     0.115040
      14.1892       1.7054800    0.0980700
      14.2188       1.6733299    0.0965300
      14.2484       1.6570801     0.102069
      14.2782       1.6439800     0.105390
      14.3082       1.6347800     0.103109
      14.3382       1.6187800    0.0994710
      14.3684       1.6023700     0.103030
      14.3987       1.5951999     0.104190
