 ICOMP=17: Draine 2003 astrosilicate                 0.1000 = grain radius (micron)   20.00 = grain temperature (K)     837 = number of wavelengths  wave(um)      eps_1-1    eps_2      Re(n)-1     Im(n)

Wavelength [microns]  Re(m)       Im(m)
   0.00165312      0.99890703  0.000427700
   0.00166422      0.99889702  0.000434600
   0.00167546      0.99888802  0.000441500
   0.00168686      0.99887699  0.000448600
   0.00169841      0.99886101  0.000455700
   0.00170074      0.99885702  0.000457100
   0.00170308      0.99885100  0.000458400
   0.00170542      0.99884301  0.000459800
   0.00170777      0.99882901  0.000461600
   0.00171012      0.99880701  0.000472000
   0.00171130      0.99879801  0.000487600
   0.00171249      0.99879599  0.000509100
   0.00171367      0.99879998  0.000525600
   0.00171485      0.99880099  0.000530100
   0.00171604      0.99879003  0.000534100
   0.00171723      0.99877298  0.000565200
   0.00171842      0.99878001  0.000625800
   0.00171913      0.99880898  0.000674300
   0.00171961      0.99883902  0.000704300
   0.00172009      0.99887598  0.000724300
   0.00172057      0.99891901  0.000730800
   0.00172104      0.99896199  0.000721700
   0.00172152      0.99900073  0.000698700
   0.00172200      0.99903268  0.000664100
   0.00172439      0.99904960  0.000474000
   0.00172680      0.99896699  0.000417300
   0.00172921      0.99891001  0.000414200
   0.00173162      0.99887502  0.000415200
   0.00173404      0.99884301  0.000416300
   0.00173647      0.99880499  0.000417400
   0.00173891      0.99874699  0.000422500
   0.00174013      0.99870300  0.000436400
   0.00174135      0.99865597  0.000473200
   0.00174257      0.99862802  0.000540200
   0.00174380      0.99862897  0.000615800
   0.00174503      0.99864101  0.000658400
   0.00174625      0.99861699  0.000663900
   0.00174748      0.99854499  0.000714000
   0.00174872      0.99850202  0.000909400
   0.00174921      0.99851900   0.00102500
   0.00174970      0.99857098   0.00114500
   0.00175020      0.99865901   0.00126500
   0.00175069      0.99878198   0.00137300
   0.00175119      0.99893200   0.00144600
   0.00175168      0.99909163   0.00146900
   0.00175218      0.99925423   0.00143700
   0.00175267      0.99940568   0.00135200
   0.00175366      0.99962348   0.00107500
   0.00175490      0.99968660  0.000699700
   0.00175615      0.99958497  0.000453500
   0.00175739      0.99943638  0.000347500
   0.00175864      0.99931431  0.000316300
   0.00175989      0.99923420  0.000310000
   0.00176114      0.99918121  0.000309500
   0.00176364      0.99911213  0.000310400
   0.00176615      0.99906611  0.000311500
   0.00176867      0.99903160  0.000312700
   0.00177120      0.99900448  0.000314000
   0.00177373      0.99898201  0.000315400
   0.00177627      0.99896199  0.000316700
   0.00177882      0.99894601  0.000318100
   0.00178138      0.99893099  0.000319500
   0.00178394      0.99891698  0.000320800
   0.00179687      0.99886298  0.000327700
   0.00180999      0.99882102  0.000335800
   0.00182329      0.99878597  0.000344200
   0.00187855      0.99867201  0.000380300
   0.00193725      0.99857301  0.000421100
   0.00199974      0.99847698  0.000467500
   0.00206640      0.99838102  0.000520300
   0.00210142      0.99833202  0.000549400
   0.00213765      0.99827898  0.000580500
   0.00215624      0.99824899  0.000597000
   0.00217516      0.99820298  0.000614100
   0.00219441      0.99813497  0.000660700
   0.00220612      0.99809301  0.000725400
   0.00221400      0.99807101  0.000788500
   0.00221796      0.99806398  0.000841100
   0.00222193      0.99808800  0.000910700
   0.00222592      0.99815500  0.000963800
   0.00222752      0.99819100  0.000973300
   0.00222993      0.99823701  0.000949700
   0.00223395      0.99826002  0.000914600
   0.00223798      0.99827302  0.000912600
   0.00224202      0.99832600  0.000915000
   0.00224609      0.99835199  0.000824400
   0.00225016      0.99829102  0.000767300
   0.00225426      0.99822599  0.000786900
   0.00225836      0.99817300  0.000815000
   0.00226248      0.99814999  0.000903200
   0.00226662      0.99817097  0.000974300
   0.00227077      0.99823499   0.00106300
   0.00227285      0.99831200   0.00109900
   0.00227494      0.99838698   0.00105700
   0.00227912      0.99842697  0.000948000
   0.00228331      0.99838001  0.000881900
   0.00228753      0.99831599  0.000893500
   0.00229176      0.99826300  0.000927100
   0.00229600      0.99813002  0.000994400
   0.00230026      0.99808300   0.00137800
   0.00230453      0.99850702   0.00188900
   0.00230625      0.99891901   0.00199300
   0.00230797      0.99934942   0.00182000
   0.00230969      0.99959219   0.00133300
   0.00231141      0.99957639  0.000914900
   0.00231313      0.99944258  0.000741400
   0.00231486      0.99931490  0.000620400
   0.00231659      0.99921882  0.000516400
   0.00231832      0.99912220  0.000447100
   0.00232006      0.99903262  0.000412900
   0.00232180      0.99895799  0.000387400
   0.00232615      0.99883902  0.000371700
   0.00233053      0.99875301  0.000338400
   0.00233492      0.99867600  0.000331400
   0.00233932      0.99862498  0.000333200
   0.00234374      0.99859500  0.000326200
   0.00234596      0.99858999  0.000318200
   0.00234818      0.99857002  0.000283700
   0.00234907      0.99855697  0.000266200
   0.00236160      0.99841499  0.000271100
   0.00238431      0.99827403  0.000280100
   0.00247968      0.99792099  0.000320100
   0.00258300      0.99763697  0.000367500
   0.00269530      0.99735397  0.000424300
