Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s2from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s2.lnk808 linesmicrons    n               k
      9.38790       1.3570400      1.86896
      9.40083       1.4405500      1.83230
      9.41379       1.4975600      1.78804
      9.42680       1.5764000      1.75564
      9.43983       1.6486400      1.69908
      9.45291       1.7248000      1.61916
      9.46602       1.7517800      1.52090
      9.47917       1.7571700      1.43565
      9.49235       1.7289799      1.37718
      9.50557       1.7088000      1.35386
      9.51883       1.7064000      1.36604
      9.53212       1.7602100      1.36599
      9.54545       1.8177299      1.34194
      9.55882       1.8963600      1.27630
      9.57223       1.9311200      1.17967
      9.58567       1.9406300      1.07502
      9.59916       1.9174200     0.989972
      9.61268       1.8881400     0.904222
      9.62623       1.8360500     0.848915
      9.63983       1.7980500     0.793771
      9.65347       1.7411799     0.755968
      9.66714       1.6986400     0.722628
      9.68085       1.6466300     0.699622
      9.69460       1.6042800     0.672934
      9.70839       1.5445000     0.659583
      9.72222       1.5024900     0.650542
      9.73609       1.4443700     0.641191
      9.75000       1.3926200     0.643200
      9.76395       1.3284700     0.647962
      9.77794       1.2651100     0.672939
      9.79197       1.1993999     0.712482
      9.80603       1.1468300     0.781268
      9.82014       1.1194900     0.863876
      9.83429       1.1232100     0.954633
      9.84848       1.1579601      1.03919
      9.86272       1.2307900      1.10769
      9.87699       1.3246000      1.13372
      9.89130       1.4221100      1.11551
      9.90566       1.4947701      1.05748
      9.92006       1.5406200     0.973739
      9.93450       1.5394400     0.882849
      9.94898       1.5137700     0.802627
      9.96350       1.4582200     0.737916
      9.97807       1.3987100     0.696980
      9.99268       1.3333000     0.663369
      10.0073       1.2606500     0.641552
      10.0220       1.1817800     0.631480
      10.0368       1.0977900     0.632220
      10.0515       1.0052000     0.649228
      10.0664      0.91320902     0.685357
      10.0812      0.81992400     0.740328
      10.0962      0.73665100     0.821170
      10.1111      0.67195499     0.918333
      10.1261      0.62965798      1.02372
      10.1412      0.60205901      1.12919
      10.1563      0.59285003      1.23640
      10.1714      0.59271300      1.33529
      10.1866      0.60230303      1.43439
      10.2018      0.61582702      1.52819
      10.2171      0.64050698      1.62413
      10.2324      0.66650301      1.71242
      10.2478      0.70197499      1.80440
      10.2632      0.73602599      1.89053
      10.2786      0.78252703      1.98313
      10.2941      0.82535899      2.06878
      10.3097      0.88315898      2.16719
      10.3253      0.94219202      2.25768
      10.3409       1.0207000      2.36010
      10.3566       1.1021900      2.45190
      10.3723       1.2065800      2.55352
      10.3881       1.3153300      2.64720
      10.4040       1.4652500      2.74474
      10.4199       1.6169400      2.81693
      10.4358       1.8170500      2.88671
      10.4518       2.0201001      2.90205
      10.4678       2.2419000      2.88957
      10.4839       2.4479001      2.83565
      10.5000       2.6561100      2.72130
      10.5162       2.7819800      2.59663
      10.5324       2.9166801      2.46023
      10.5487       2.9753001      2.33190
      10.5650       3.0567100      2.22352
      10.5814       3.0991800      2.11625
      10.5978       3.1496000      2.02852
      10.6143       3.2063501      1.96475
      10.6308       3.2890000      1.86078
      10.6474       3.3439400      1.77729
      10.6641       3.4339700      1.64642
      10.6807       3.4667301      1.51848
      10.6975       3.5155201      1.36680
      10.7143       3.5081999      1.21802
      10.7311       3.4887199      1.07138
      10.7480       3.4451201     0.957389
      10.7650       3.3957300     0.837519
      10.7820       3.3363700     0.763842
      10.7991       3.2901900     0.669274
      10.8162       3.2225499     0.610267
      10.8333       3.1721599     0.544184
      10.8506       3.1134400     0.502729
      10.8678       3.0686100     0.444644
      10.8852       2.9990900     0.407587
      10.9026       2.9471099     0.387546
      10.9200       2.9165499     0.370070
      10.9375       2.8780701     0.323690
      10.9551       2.8195300     0.303988
      10.9727       2.7768600     0.296750
      10.9903       2.7560899     0.288026
      11.0081       2.7198601     0.255228
      11.0259       2.6810200     0.250818
      11.0437       2.6518700     0.233600
      11.0616       2.6197000     0.225419
      11.0795       2.5847700     0.214161
      11.0976       2.5635500     0.217380
      11.1156       2.5390799     0.197405
      11.1338       2.5093701     0.195629
      11.1520       2.4785299     0.187580
      11.1702       2.4622400     0.199598
      11.1885       2.4460800     0.177226
      11.2069       2.4129601     0.184529
      11.2253       2.4022400     0.176930
      11.2438       2.3693800     0.175630
      11.2624       2.3493700     0.184982
      11.2810       2.3346400     0.195969
      11.2997       2.3269899     0.203731
      11.3184       2.3244600     0.212010
      11.3372       2.3283100     0.213300
      11.3561       2.3384600     0.204042
      11.3750       2.3334899     0.179740
      11.3940       2.3199000     0.160720
      11.4130       2.2904699     0.152631
      11.4322       2.2908900     0.159600
      11.4513       2.2778699     0.131203
      11.4706       2.2511899     0.131670
      11.4899       2.2350800     0.130930
      11.5093       2.2276700     0.135098
      11.5287       2.2154200     0.125990
      11.5482       2.2066000     0.126710
      11.5678       2.1894600     0.117831
      11.5874       2.1818600     0.123678
      11.6071       2.1646800     0.114771
      11.6269       2.1613600     0.128457
      11.6468       2.1543400     0.110501
      11.6667       2.1419599     0.118447
      11.6866       2.1324100     0.103643
      11.7067       2.1145999     0.115960
      11.7268       2.1113200     0.112351
      11.7470       2.1050899     0.123059
      11.7672       2.1082201     0.110201
      11.7876       2.0969300     0.111357
      11.8080       2.0929101    0.0977600
      11.8284       2.0754600     0.102679
      11.8490       2.0743401    0.0972800
      11.8696       2.0631499    0.0993480
      11.8902       2.0605299    0.0885820
      11.9110       2.0407300    0.0910100
      11.9318       2.0393100    0.0930300
      11.9527       2.0314500    0.0916400
      11.9737       2.0233700    0.0884310
      11.9947       2.0198600    0.0969380
      12.0158       2.0241899    0.0785740
      12.0370       1.9957700    0.0763420
      12.0583       1.9955100    0.0874480
      12.0796       1.9912200    0.0824200
      12.1011       1.9882100    0.0821900
      12.1226       1.9831600    0.0710900
      12.1441       1.9628500    0.0690610
      12.1658       1.9590100    0.0810290
      12.1875       1.9605600    0.0744100
      12.2093       1.9509600    0.0688610
      12.2312       1.9390900    0.0681300
      12.2531       1.9345599    0.0711700
      12.2752       1.9266500    0.0676300
      12.2973       1.9204500    0.0672000
      12.3195       1.9041200    0.0699090
      12.3418       1.9155200    0.0826690
      12.3641       1.9083600    0.0545510
      12.3866       1.8837100    0.0694300
      12.4091       1.8885700    0.0731800
      12.4317       1.8829401    0.0754600
      12.4544       1.8835400    0.0733300
      12.4771       1.8816400    0.0709590
      12.5000       1.8741800    0.0612400
      12.5229       1.8667600    0.0618280
      12.5460       1.8509500    0.0529730
      12.5691       1.8414299    0.0721390
      12.5922       1.8463399    0.0636800
      12.6155       1.8339500    0.0709490
      12.6389       1.8381600    0.0643700
      12.6623       1.8227201    0.0676700
      12.6859       1.8255301    0.0681600
      12.7095       1.8169000    0.0698400
      12.7332       1.8190399    0.0654500
      12.7570       1.8069600    0.0671000
      12.7809       1.8128700    0.0623700
      12.8049       1.7913300    0.0555510
      12.8289       1.7901599    0.0701390
      12.8531       1.7904100    0.0618700
      12.8774       1.7823700    0.0623400
      12.9017       1.7773300    0.0555800
      12.9261       1.7581800    0.0587520
      12.9507       1.7584200    0.0721680
      12.9753       1.7581600    0.0691010
      13.0000       1.7564200    0.0718100
      13.0248       1.7525100    0.0665000
      13.0497       1.7511801    0.0702190
      13.0747       1.7478800    0.0538620
      13.0998       1.7233000    0.0588710
      13.1250       1.7269500    0.0718500
      13.1503       1.7252300    0.0594900
      13.1757       1.7006900    0.0665040
      13.2012       1.7110000    0.0909700
      13.2267       1.7252001    0.0750530
      13.2524       1.7159700    0.0661890
      13.2782       1.7053900    0.0590900
      13.3041       1.6959100    0.0631300
      13.3301       1.6852100    0.0597410
      13.3562       1.6809400    0.0763970
      13.3823       1.6910501    0.0602320
      13.4086       1.6615700    0.0574700
      13.4350       1.6602900    0.0765300
      13.4615       1.6671400    0.0730200
      13.4881       1.6556700    0.0634410
      13.5148       1.6422800    0.0767490
      13.5417       1.6536300    0.0820380
      13.5686       1.6508400    0.0683100
      13.5956       1.6365100    0.0679600
      13.6228       1.6333801    0.0718290
      13.6500       1.6260300    0.0709200
      13.6774       1.6283200    0.0724500
      13.7048       1.6142800    0.0582610
      13.7324       1.6010799    0.0731280
      13.7601       1.6026800    0.0684000
      13.7879       1.5882200    0.0730400
      13.8158       1.5885299    0.0776300
      13.8438       1.5859801    0.0753300
      13.8720       1.5749400    0.0710800
      13.9002       1.5711700    0.0793090
      13.9286       1.5656700    0.0668510
      13.9571       1.5474100    0.0741410
      13.9857       1.5410900    0.0781020
      14.0144       1.5385900    0.0884990
      14.0432       1.5342900    0.0774300
      14.0722       1.5227799    0.0926970
      14.1012       1.5288100    0.0757000
      14.1304       1.4958301    0.0858880
      14.1597       1.5117199    0.0947100
      14.1892       1.4917600    0.0782800
      14.2188       1.4749500    0.0896200
      14.2484       1.4663399     0.101608
      14.2782       1.4674700     0.101900
      14.3082       1.4513000     0.105220
      14.3382       1.4483100     0.107721
      14.3684       1.4295501     0.116470
      14.3987       1.4375000     0.119450
      14.4292       1.4081500     0.115853
      14.4598       1.4136800     0.136807
      14.4904       1.3937700     0.113993
      14.5213       1.3626699     0.142372
      14.5522       1.3600700     0.159091
      14.5833       1.3544101     0.175198
      14.6146       1.3446000     0.174640
      14.6459       1.3148400     0.202757
      14.6774       1.3210400     0.243230
      14.7091       1.3364800     0.265678
      14.7408       1.3583900     0.277020
      14.7727       1.3718100     0.274399
      14.8048       1.3765000     0.268600
      14.8370       1.3739500     0.273540
      14.8693       1.3912500     0.270350
      14.9017       1.3822700     0.250690
      14.9344       1.3790600     0.249050
      14.9671       1.3628100     0.225493
      15.0000       1.3405000     0.230460
      15.0330       1.3223600     0.202570
      15.0662       1.2509600     0.209727
      15.0996       1.2227900     0.255341
      15.1330       1.2018100     0.269662
      15.1667       1.1643100     0.300063
      15.2004       1.1329100     0.333415
      15.2344       1.0887001     0.382844
      15.2685       1.0584100     0.456730
      15.3027       1.0409200     0.542279
      15.3371       1.0436100     0.644864
      15.3716       1.0739800     0.759614
      15.4063       1.1509800     0.874667
      15.4412       1.2611901     0.962705
      15.4762       1.4066499      1.02834
      15.5114       1.5810500      1.02789
      15.5467       1.7302999     0.968421
      15.5822       1.8515100     0.865495
      15.6179       1.9087300     0.741618
      15.6537       1.9405700     0.633311
      15.6897       1.9310800     0.515761
      15.7258       1.8885200     0.441524
      15.7621       1.8501000     0.392826
      15.7986       1.8185800     0.364891
      15.8353       1.8022900     0.332407
      15.8721       1.7663500     0.300603
      15.9091       1.7438700     0.297120
      15.9463       1.7379400     0.270692
      15.9836       1.7100400     0.248008
      16.0211       1.6912100     0.228008
      16.0588       1.6540400     0.210492
      16.0967       1.6276300     0.212270
      16.1348       1.6042700     0.206820
      16.1730       1.5771500     0.213631
      16.2114       1.5676100     0.228969
      16.2500       1.5719800     0.228650
      16.2888       1.5709400     0.216211
      16.3277       1.5567400     0.188141
      16.3669       1.5108600     0.189372
      16.4063       1.5147600     0.216130
      16.4458       1.5162899     0.183483
      16.4855       1.4781200     0.185120
      16.5254       1.4783400     0.189300
      16.5655       1.4557300     0.178231
      16.6058       1.4521000     0.185919
      16.6463       1.4394900     0.153891
      16.6870       1.3960600     0.151730
      16.7279       1.3721400     0.158620
      16.7690       1.3488400     0.168449
      16.8104       1.3359300     0.169790
      16.8519       1.3083100     0.173180
      16.8936       1.2955700     0.180329
      16.9355       1.2695900     0.174491
      16.9776       1.2403500     0.183880
      17.0200       1.2158099     0.193240
      17.0625       1.1942300     0.200650
      17.1053       1.1607800     0.204260
      17.1482       1.1288199     0.225360
      17.1914       1.1052901     0.235802
      17.2348       1.0646300     0.252031
      17.2785       1.0345000     0.281929
      17.3223       1.0076300     0.303652
      17.3664      0.97409201     0.326109
      17.4107      0.93296498     0.353204
      17.4552      0.88898200     0.392068
      17.5000      0.84322900     0.438201
      17.5450      0.79371703     0.500416
      17.5902      0.74819702     0.581849
      17.6357      0.71586001     0.687902
      17.6814      0.71100098     0.806316
      17.7273      0.72649902     0.931181
      17.7734      0.77188599      1.06314
      17.8198      0.84960502      1.19222
      17.8665      0.96690500      1.31024
      17.9134       1.1196200      1.39851
      17.9605       1.3040800      1.44762
      18.0079       1.5071000      1.43366
      18.0556       1.7000200      1.34650
      18.1035       1.8357800      1.18614
      18.1516       1.8789500      1.01261
      18.2000       1.8643700     0.873079
      18.2487       1.8187799     0.767307
      18.2976       1.7559500     0.703148
      18.3468       1.7025800     0.673753
      18.3962       1.6613100     0.660850
      18.4459       1.6357000     0.664190
      18.4959       1.6384799     0.662920
      18.5462       1.6425000     0.633807
      18.5967       1.6271800     0.597960
      18.6475       1.5967200     0.566761
      18.6986       1.5595800     0.548130
      18.7500       1.5164800     0.533830
      18.8016       1.4676100     0.537310
      18.8536       1.4216200     0.545120
      18.9058       1.3602800     0.573164
      18.9583       1.3134100     0.633056
      19.0111       1.2817500     0.714187
      19.0643       1.2946301     0.829707
      19.1176       1.3812200     0.925551
      19.1714       1.5071300     0.959770
      19.2253       1.6219000     0.916731
      19.2797       1.6797700     0.842860
      19.3343       1.7036999     0.777817
      19.3892       1.7128600     0.717275
      19.4444       1.7018900     0.662825
      19.5000       1.6824600     0.623250
      19.5559       1.6606801     0.593312
      19.6121       1.6393000     0.566620
      19.6686       1.6091000     0.545680
      19.7254       1.5812700     0.535391
      19.7826       1.5501200     0.529280
      19.8401       1.5236300     0.539491
      19.8980       1.5110500     0.551320
      19.9561       1.5073700     0.566420
      20.0147       1.5283400     0.566240
      20.0735       1.5266900     0.532010
      20.1327       1.5052201     0.522100
      20.1923       1.4981800     0.506309
      20.2522       1.4711500     0.490440
      20.3125       1.4517900     0.488720
      20.3731       1.4361800     0.478711
      20.4341       1.4117900     0.467880
      20.4955       1.3883200     0.464559
      20.5572       1.3626601     0.455340
      20.6193       1.3360699     0.460749
      20.6818       1.3232599     0.446010
      20.7447       1.2775400     0.434630
      20.8079       1.2478600     0.438070
      20.8716       1.2051400     0.431010
      20.9356       1.1683300     0.438660
      21.0000       1.1218801     0.428990
      21.0648       1.0615700     0.443159
      21.1300       1.0144200     0.454400
      21.1957      0.94683301     0.462620
      21.2617      0.86560202     0.488299
      21.3281      0.77697700     0.538426
      21.3950      0.69462597     0.613775
      21.4623      0.62467498     0.716443
      21.5300      0.58835900     0.829683
      21.5981      0.56230098     0.941088
      21.6667      0.56133997      1.05697
      21.7357      0.56329000      1.15976
      21.8051      0.57340002      1.27322
      21.8750      0.59026998      1.38907
      21.9453      0.62779099      1.51839
      22.0161      0.68057197      1.64855
      22.0874      0.76823199      1.79129
      22.1591      0.89088702      1.92663
      22.2313       1.0784000      2.04572
      22.3039       1.3080400      2.10125
      22.3771       1.5827600      2.05683
      22.4507       1.7813500      1.88126
      22.5247       1.8731101      1.63997
      22.5993       1.7687700      1.41671
      22.6744       1.5758200      1.37338
      22.7500       1.4329900      1.49282
      22.8261       1.4353900      1.70472
      22.9027       1.5983900      1.88603
      22.9798       1.8902900      1.95836
      23.0574       2.2187300      1.79816
      23.1356       2.3472199      1.44754
      23.2143       2.2310400      1.15112
      23.2935       2.0173700      1.01135
      23.3733       1.8022400      1.01477
      23.4536       1.6476001      1.13076
      23.5345       1.6011400      1.31135
      23.6159       1.6727999      1.47692
      23.6979       1.8226200      1.58889
      23.7805       2.0350399      1.60333
      23.8636       2.2168100      1.50558
      23.9474       2.3409600      1.34702
      24.0317       2.3841600      1.15777
      24.1166       2.3562300     0.986677
      24.2021       2.2926500     0.853038
      24.2883       2.2038400     0.743157
      24.3750       2.1049800     0.675160
      24.4624       2.0040300     0.614989
      24.5504       1.8789800     0.596900
      24.6390       1.7772300     0.623001
      24.7283       1.7110400     0.682469
      24.8182       1.7222400     0.726489
      24.9088       1.7298200     0.689939
      25.0000       1.6926100     0.639310
      25.0919       1.6139500     0.595691
      25.1845       1.5284801     0.594490
      25.2778       1.4553800     0.592660
      25.3717       1.3695900     0.601060
      25.4664       1.2868299     0.617200
      25.5618       1.1906199     0.642531
      25.6579       1.0941200     0.689708
      25.7547      0.99781799     0.750842
      25.8523      0.90350199     0.835948
      25.9506      0.82287002     0.944560
      26.0496      0.76722997      1.07182
      26.1494      0.73719901      1.19836
      26.2500      0.71872002      1.32671
      26.3514      0.71898001      1.46035
      26.4535      0.73904002      1.59621
      26.5564      0.78723902      1.72905
      26.6602      0.85698301      1.84289
      26.7647      0.93599403      1.94423
      26.8701       1.0336100      2.03626
      26.9763       1.1557200      2.11394
      27.0833       1.3266799      2.15627
      27.1912       1.5293800      2.07993
      27.3000       1.6111900      1.85073
      27.4096       1.4651000      1.65199
      27.5202       1.2186100      1.63841
      27.6316       1.0279900      1.79531
      27.7439      0.96290100      2.00831
      27.8571      0.97052002      2.20742
      27.9713       1.0342300      2.38493
      28.0864       1.1138500      2.53442
      28.2025       1.2224500      2.67495
      28.3195       1.3413000      2.80310
      28.4375       1.5183800      2.92717
      28.5565       1.7265900      2.98863
      28.6765       1.9720000      2.99426
      28.7975       2.2125001      2.86711
      28.9195       2.3377199      2.61882
      29.0425       2.2643800      2.34681
      29.1667       1.9923000      2.20187
      29.2918       1.6764801      2.31456
      29.4181       1.4956100      2.59269
      29.5455       1.4359100      2.92912
      29.6739       1.5147099      3.28081
      29.8035       1.6532500      3.60486
      29.9342       1.9064800      3.94137
      30.0661       2.2167799      4.23505
      30.1991       2.7074001      4.51699
      30.3333       3.2616200      4.62594
      30.4688       3.9451001      4.58959
      30.6054       4.4860601      4.32947
      30.7432       5.1207299      4.02593
      30.8824       5.6357498      3.32812
      31.0227       5.7500501      2.47705
      31.1644       5.4811201      1.80661
      31.3073       5.0381699      1.40668
      31.4516       4.6379800      1.37745
      31.5972       4.4845200      1.47037
      31.7442       4.5524502      1.55257
      31.8925       4.7111502      1.35390
      32.0423       4.6598802      1.11464
      32.1934       4.5620399     0.894667
      32.3460       4.4060798     0.767402
      32.5000       4.2569499     0.636670
      32.6555       4.0804400     0.617600
      32.8125       3.9600599     0.572600
      32.9710       3.7813001     0.640813
      33.1311       3.7807600     0.768060
      33.2927       3.8792701     0.791690
      33.4559       3.9499099     0.636933
      33.6207       3.8426001     0.516321
      33.7871       3.7476499     0.437350
      33.9552       3.5620601     0.416721
      34.1250       3.4041400     0.531709
      34.2965       3.3774600     0.788978
      34.4697       3.6876299     0.948196
      34.6447       3.9226000     0.697512
      34.8214       3.8932300     0.471521
      35.0000       3.7902000     0.324320
      35.1804       3.6785200     0.261521
      35.3627       3.5785699     0.221650
      35.5469       3.4745800     0.235740
      35.7330       3.4417901     0.276859
      35.9211       3.4185100     0.284120
      36.1111       3.4438400     0.304100
      36.3032       3.4428699     0.209690
      36.4973       3.3602300     0.207430
      36.6936       3.3562901     0.199350
      36.8919       3.3202500     0.186040
      37.0924       3.3093901     0.163020
      37.2951       3.2771399     0.144690
      37.5000       3.2504799    0.0961800
      37.7072       3.1650400    0.0918000
      37.9167       3.1322899     0.109381
      38.1285       3.0870500     0.137150
      38.3427       3.1067400     0.163570
      38.5593       3.0973301     0.138030
      38.7784       3.0870399     0.140020
      39.0000       3.0847800     0.104340
      39.2241       3.0198400    0.0807600
      39.4509       3.0019200     0.129469
      39.6802       3.0305600    0.0874010
      39.9123       2.9616001    0.0500400
      40.1471       2.9085300    0.0641800
      40.3846       2.8703301     0.102159
      40.6250       2.8818200     0.124350
      40.8683       2.8690801     0.111130
      41.1145       2.8386700     0.117610
      41.3636       2.8314500     0.142790
      41.6158       2.8318601     0.126470
      41.8712       2.7909701     0.136680
      42.1296       2.7942500     0.161850
      42.3913       2.7935200     0.150420
      42.6563       2.7528601     0.151530
      42.9245       2.7490699     0.209760
      43.1962       2.7943001     0.204280
      43.4713       2.7967000     0.186839
      43.7500       2.7936399     0.151530
      44.0323       2.7614801     0.151570
      44.3182       2.7503099     0.132130
      44.6078       2.7114501     0.159850
      44.9013       2.7459800     0.150810
      45.1987       2.7056100     0.126690
      45.5000       2.7022600     0.114440
      45.8054       2.6352000     0.100710
      46.1149       2.6234500     0.133440
      46.4286       2.5916500     0.117160
      46.7466       2.5634601     0.142150
      47.0690       2.5477400     0.114770
      47.3958       2.4413099    0.0971200
      47.7273       2.3458700     0.180299
      48.0634       2.2954800     0.240080
      48.4043       2.1752200     0.351442
      48.7500       2.1223700     0.589249
      49.1007       2.2113299     0.894911
      49.4565       2.5883701      1.13393
      49.8175       2.9803300     0.961029
      50.1838       3.1347799     0.690122
      50.5555       3.0399699     0.439683
      50.9328       2.9583099     0.417119
      51.3158       2.9039700     0.326450
      51.7045       2.7597599     0.362040
      52.0992       2.7425399     0.507851
      52.5000       2.8649700     0.598640
      52.9070       3.0005000     0.584189
      53.3203       3.1441600     0.479580
      53.7402       3.1189599     0.301230
      54.1667       3.0735700     0.259049
      54.6000       3.0304201     0.181460
      55.0403       2.9626801     0.186640
      55.4878       2.9549999     0.189970
      55.9426       2.9538500     0.191610
      56.4050       2.9833000     0.149840
      56.8750       2.9257200    0.0760200
      57.3529       2.8604200     0.112060
      57.8390       2.8817201     0.117530
      58.3333       2.8529899     0.103250
      58.8362       2.8591700    0.0994300
      59.3478       2.8157401    0.0778800
      59.8684       2.8039701     0.112400
      60.3982       2.8139400     0.109870
      60.9375       2.8156099    0.0984900
      61.4865       2.8013899    0.0914400
      62.0454       2.8058200    0.0741900
      62.6147       2.7542300    0.0624900
      63.1944       2.7510099     0.104830
      63.7850       2.7622399     0.108790
      64.3868       2.7914100     0.105640
      65.0000       2.7781000    0.0612900
      65.6250       2.7556801    0.0653600
      66.2621       2.7422400    0.0628900
      66.9118       2.7444201    0.0665900
      67.5743       2.7298801    0.0491300
      68.2500       2.7088001    0.0426700
      68.9394       2.6573701    0.0744000
      69.6429       2.7145300     0.135310
      70.3608       2.7333801    0.0728000
      71.0938       2.7185600    0.0899200
      71.8421       2.7255399    0.0645000
      72.6064       2.7262700    0.0712600
      73.3871       2.7118800    0.0209300
      74.1848       2.6672101    0.0529300
      75.0000       2.6694701    0.0576700
      75.8333       2.6748400     0.100140
      76.6854       2.7133400    0.0438300
      77.5568       2.6317501    0.0636800
      78.4483       2.6885500     0.121980
      79.3605       2.7301199    0.0811400
      80.2941       2.7224901    0.0160400
      81.2500       2.6432600    0.0325100
      82.2289       2.6961701    0.0705500
      83.2317       2.6651700   0.00463000
      84.2593       2.6305699    0.0642700
      85.3125       2.6707799    0.0733500
      86.3924       2.6867299    0.0647700
