Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (parallel to c-axis) from : http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_p.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      12.7095       1.7708499    0.0869800
      12.7332       1.7688200    0.0930400
      12.7570       1.7477200    0.0775700
      12.7809       1.7274700    0.0957200
      12.8049       1.7290500     0.101710
      12.8289       1.7286600    0.0984600
      12.8531       1.7165101    0.0871500
      12.8774       1.7031000    0.0911700
      12.9017       1.6966400    0.0876100
      12.9261       1.6858600    0.0825400
      12.9507       1.6635200    0.0805900
      12.9753       1.6589700    0.0975800
      13.0000       1.6595900    0.0826200
      13.0248       1.6367700    0.0818100
      13.0497       1.6239700    0.0858300
      13.0747       1.6156200    0.0974300
      13.0998       1.6158201    0.0930900
      13.1250       1.6047900    0.0954100
      13.1503       1.6026599    0.0871700
      13.1757       1.5817900    0.0861900
      13.2012       1.5731601    0.0891400
      13.2267       1.5574900    0.0978300
      13.2524       1.5641000     0.106080
      13.2782       1.5627500    0.0957700
      13.3041       1.5531800    0.0825400
      13.3301       1.5258000    0.0812300
      13.3562       1.5170600    0.0945600
      13.3823       1.5114100    0.0988800
      13.4086       1.5166200    0.0972300
      13.4350       1.4968600    0.0812900
      13.4615       1.4860300    0.0970700
      13.4881       1.4848100    0.0788900
      13.5148       1.4520500    0.0846400
      13.5417       1.4512399    0.0939600
      13.5686       1.4343700    0.0967300
      13.5956       1.4428500     0.102710
      13.6228       1.4212500    0.0814400
      13.6500       1.4019300     0.100650
      13.6774       1.3989300    0.0983700
      13.7048       1.3846500     0.107060
      13.7324       1.3885700     0.108370
      13.7601       1.3837200    0.0890400
      13.7879       1.3420900    0.0768200
      13.8158       1.3244400     0.108160
      13.8438       1.3252300    0.0934600
      13.8720       1.2863500     0.104520
      13.9002       1.2867000     0.119570
      13.9286       1.2695900     0.117280
      13.9571       1.2574800     0.118690
      13.9857       1.2257600     0.118100
      14.0144       1.2000300     0.137190
      14.0432       1.1819800     0.157280
      14.0722       1.1762800     0.169730
      14.1012       1.1522100     0.169010
      14.1304       1.1191900     0.181460
      14.1597       1.0743400     0.206410
      14.1892       1.0473900     0.261930
      14.2188       1.0357500     0.293420
      14.2484      0.99861997     0.350650
      14.2782      0.99585998     0.428420
      14.3082       1.0079200     0.520420
      14.3382       1.0779500     0.594220
      14.3684       1.1364501     0.654710
      14.3987       1.2618600     0.691430
      14.4292       1.3618500     0.664800
      14.4598       1.4544500     0.591830
      14.4904       1.4708700     0.517470
      14.5213       1.4910700     0.453000
      14.5522       1.4735800     0.394630
      14.5833       1.4524699     0.351910
      14.6146       1.4216400     0.333840
      14.6459       1.4123600     0.319090
      14.6774       1.3967600     0.298300
      14.7091       1.3740200     0.281050
      14.7408       1.3573200     0.277380
      14.7727       1.3408099     0.261680
      14.8048       1.3257600     0.259010
      14.8370       1.3010000     0.234060
      14.8693       1.2657400     0.254120
      14.9017       1.2727200     0.244880
      14.9344       1.2287500     0.238090
      14.9671       1.2158999     0.257900
      15.0000       1.2044400     0.264150
      15.0330       1.2079099     0.249460
      15.0662       1.1472800     0.231030
      15.0996       1.1086200     0.277640
      15.1330       1.0925100     0.294520
      15.1667       1.0556500     0.349540
      15.2004       1.0810800     0.409720
      15.2344       1.1059500     0.447730
      15.2685       1.1654299     0.473380
      15.3027       1.2176600     0.461820
      15.3371       1.2603600     0.421480
      15.3716       1.2717700     0.380620
      15.4063       1.2718400     0.328980
      15.4412       1.2513601     0.302460
      15.4762       1.2393600     0.257490
      15.5114       1.1900899     0.239660
      15.5467       1.1737800     0.228610
      15.5822       1.1287301     0.213350
      15.6179       1.1084400     0.226330
      15.6537       1.0920900     0.209430
      15.6897       1.0620199     0.198580
      15.7258       1.0194200     0.189650
      15.7621      0.98484999     0.212330
      15.7986      0.97874999     0.205170
      15.8353      0.93074000     0.199120
      15.8721      0.91035002     0.219550
      15.9091      0.88480002     0.203990
      15.9463      0.83763999     0.211960
      15.9836      0.80711001     0.222310
      16.0211      0.76969999     0.229840
      16.0588      0.73084003     0.237080
      16.0967      0.68116999     0.252630
      16.1348      0.63821000     0.277010
      16.1730      0.59166998     0.303350
      16.2114      0.54680002     0.339400
      16.2500      0.50480002     0.384230
      16.2888      0.47494999     0.434330
      16.3277      0.44865999     0.482030
      16.3669      0.42714000     0.533390
      16.4063      0.41194001     0.585750
      16.4458      0.40459999     0.634420
      16.4855      0.39520001     0.680040
