

Wavelength [microns]  Re(m)       Im(m)
      6.28333       1.2812639   0.00316352
      6.28653       1.2807757   0.00317589
      6.28973       1.2802863   0.00318831
      6.29293       1.2797956   0.00320080
      6.29613       1.2793037   0.00321335
      6.29933       1.2788106   0.00322596
      6.30253       1.2783163   0.00323864
      6.30573       1.2778207   0.00325138
      6.30893       1.2773241   0.00326418
      6.31213       1.2768261   0.00327704
      6.31533       1.2763269   0.00328997
      6.31853       1.2758265   0.00330296
      6.32173       1.2753248   0.00331601
      6.32493       1.2748219   0.00332913
      6.32813       1.2743179   0.00334232
      6.33133       1.2738124   0.00335557
      6.33453       1.2733055   0.00336889
      6.33773       1.2727978   0.00338227
      6.34093       1.2722884   0.00339573
      6.34413       1.2717780   0.00340925
      6.34733       1.2712662   0.00342283
      6.35053       1.2707531   0.00343649
      6.35374       1.2702388   0.00345022
      6.35694       1.2697233   0.00346401
      6.36014       1.2692062   0.00347788
      6.36334       1.2686878   0.00349181
      6.36654       1.2681684   0.00350582
      6.36974       1.2676475   0.00351990
      6.37294       1.2671254   0.00353404
      6.37614       1.2666018   0.00354826
      6.37934       1.2660769   0.00356256
      6.38254       1.2655507   0.00357692
      6.38574       1.2650232   0.00359136
      6.38894       1.2644943   0.00360588
      6.39214       1.2639641   0.00362047
      6.39534       1.2634326   0.00363513
      6.39854       1.2628996   0.00364987
      6.40174       1.2623653   0.00366468
      6.40494       1.2618296   0.00367958
      6.40814       1.2612925   0.00369455
      6.41134       1.2607541   0.00370959
      6.41454       1.2602142   0.00372472
      6.41774       1.2596730   0.00373992
      6.42094       1.2591304   0.00375521
      6.42414       1.2585864   0.00377057
      6.42734       1.2580408   0.00378601
      6.43054       1.2574940   0.00380154
      6.43374       1.2569457   0.00381714
      6.43694       1.2563961   0.00383283
      6.44014       1.2558448   0.00384860
      6.44334       1.2552923   0.00386445
      6.44654       1.2547382   0.00388039
      6.44975       1.2541827   0.00389641
      6.45295       1.2536258   0.00391251
      6.45615       1.2530673   0.00392871
      6.45935       1.2525076   0.00394498
      6.46255       1.2519460   0.00396135
      6.46575       1.2513833   0.00397780
      6.46895       1.2508188   0.00399434
      6.47215       1.2502531   0.00401096
      6.47535       1.2496858   0.00402768
      6.47855       1.2491168   0.00404449
      6.48175       1.2485465   0.00406138
      6.48495       1.2479746   0.00407837
      6.48815       1.2474012   0.00409545
      6.49135       1.2468264   0.00411262
      6.49455       1.2462499   0.00412988
      6.49775       1.2456720   0.00414724
      6.50095       1.2450924   0.00416469
      6.50415       1.2445112   0.00418223
      6.50735       1.2439287   0.00419987
      6.51055       1.2433444   0.00421761
      6.51375       1.2427585   0.00423545
      6.51695       1.2421712   0.00425338
      6.52015       1.2415822   0.00427141
      6.52335       1.2409914   0.00428954
      6.52655       1.2403994   0.00430777
      6.52975       1.2398057   0.00432609
      6.53295       1.2392102   0.00434452
      6.53615       1.2386131   0.00436305
      6.53935       1.2380145   0.00438169
      6.54255       1.2374140   0.00440043
      6.54575       1.2368124   0.00441926
      6.54895       1.2362086   0.00443821
      6.55216       1.2356033   0.00445727
      6.55536       1.2349964   0.00447642
      6.55856       1.2343879   0.00449569
      6.56176       1.2337775   0.00451506
      6.56496       1.2331655   0.00453454
      6.56816       1.2325519   0.00455413
      6.57136       1.2319365   0.00457384
      6.57456       1.2313195   0.00459365
      6.57776       1.2307006   0.00461357
      6.58096       1.2300802   0.00463361
      6.58416       1.2294580   0.00465376
      6.58736       1.2288342   0.00467402
      6.59056       1.2282083   0.00469440
      6.59376       1.2275808   0.00471490
