

Wavelength [microns]  Re(m)       Im(m)
      5.74887       1.3538435   0.00202070
      5.75208       1.3534993   0.00202774
      5.75528       1.3531548   0.00203481
      5.75848       1.3528094   0.00204191
      5.76168       1.3524634   0.00204903
      5.76488       1.3521165   0.00205618
      5.76808       1.3517691   0.00206336
      5.77128       1.3514209   0.00207058
      5.77448       1.3510718   0.00207782
      5.77768       1.3507223   0.00208509
      5.78088       1.3503718   0.00209239
      5.78408       1.3500209   0.00209972
      5.78728       1.3496691   0.00210708
      5.79048       1.3493166   0.00211447
      5.79368       1.3489633   0.00212189
      5.79688       1.3486093   0.00212934
      5.80008       1.3482546   0.00213683
      5.80328       1.3478992   0.00214434
      5.80648       1.3475431   0.00215188
      5.80968       1.3471861   0.00215946
      5.81288       1.3468285   0.00216707
      5.81608       1.3464701   0.00217470
      5.81928       1.3461109   0.00218237
      5.82248       1.3457510   0.00219008
      5.82568       1.3453904   0.00219781
      5.82888       1.3450290   0.00220557
      5.83208       1.3446668   0.00221337
      5.83528       1.3443040   0.00222120
      5.83848       1.3439403   0.00222907
      5.84168       1.3435758   0.00223696
      5.84488       1.3432107   0.00224489
      5.84808       1.3428447   0.00225285
      5.85128       1.3424780   0.00226085
      5.85449       1.3421105   0.00226887
      5.85769       1.3417423   0.00227694
      5.86089       1.3413732   0.00228503
      5.86409       1.3410034   0.00229316
      5.86729       1.3406327   0.00230133
      5.87049       1.3402613   0.00230953
      5.87369       1.3398892   0.00231776
      5.87689       1.3395162   0.00232603
      5.88009       1.3391424   0.00233433
      5.88329       1.3387680   0.00234267
      5.88649       1.3383925   0.00235104
      5.88969       1.3380165   0.00235945
      5.89289       1.3376396   0.00236789
      5.89609       1.3372618   0.00237638
      5.89929       1.3368833   0.00238489
      5.90249       1.3365039   0.00239344
      5.90569       1.3361237   0.00240203
      5.90889       1.3357427   0.00241066
      5.91209       1.3353610   0.00241932
      5.91529       1.3349783   0.00242802
      5.91849       1.3345950   0.00243676
      5.92169       1.3342106   0.00244553
      5.92489       1.3338256   0.00245434
      5.92809       1.3334396   0.00246319
