Optical constants for amorphous carbon - ACAR sample.  Data from Zubko V. et al 1996, MNRAS, 282, 1321-1329,  Range 0.05 - 1984 mic, 1245 entries. [ZI, Aug 96

Wavelength [microns]  Re(m)       Im(m)
      1.05200       2.3529999     0.714400
      1.06100       2.3559999     0.713500
      1.07000       2.3580000     0.712700
      1.07900       2.3610001     0.712000
      1.08900       2.3640001     0.711400
      1.09800       2.3670001     0.710900
      1.10800       2.3699999     0.710500
      1.11800       2.3729999     0.710200
      1.12700       2.3759999     0.710000
      1.13700       2.3789999     0.709900
      1.14700       2.3820000     0.709800
      1.15700       2.3850000     0.709700
      1.16700       2.3889999     0.709600
      1.17700       2.3920000     0.709400
      1.18800       2.3950000     0.709200
      1.19800       2.3989999     0.708900
      1.20900       2.4020000     0.708500
      1.21900       2.4059999     0.707900
      1.23000       2.4089999     0.707300
      1.24000       2.4130001     0.706700
      1.25100       2.4159999     0.706100
      1.26200       2.4189999     0.705500
      1.27300       2.4219999     0.705100
      1.28400       2.4240000     0.704700
      1.29600       2.4270000     0.704600
      1.30700       2.4300001     0.704600
      1.31800       2.4319999     0.704900
      1.33000       2.4349999     0.705300
      1.34100       2.4389999     0.705900
      1.35300       2.4419999     0.706400
      1.36500       2.4449999     0.706900
      1.37700       2.4489999     0.707400
      1.38900       2.4530001     0.707600
      1.40100       2.4570000     0.707700
      1.41300       2.4610000     0.707400
      1.42600       2.4649999     0.706900
      1.43800       2.4690001     0.706300
      1.45100       2.4719999     0.705600
      1.46300       2.4749999     0.704900
      1.47600       2.4779999     0.704300
      1.48900       2.4809999     0.703800
      1.50200       2.4840000     0.703600
      1.51500       2.4860001     0.703700
      1.52800       2.4890001     0.704000
      1.54100       2.4920001     0.704500
      1.55500       2.4949999     0.705200
      1.56900       2.4979999     0.705800
      1.58200       2.5009999     0.706500
      1.59600       2.5050001     0.707100
      1.61000       2.5079999     0.707500
      1.62400       2.5120001     0.707800
      1.63800       2.5160000     0.707900
      1.65200       2.5190001     0.707900
      1.66700       2.5220001     0.708000
      1.68100       2.5260000     0.708000
      1.69600       2.5290000     0.708200
      1.71100       2.5320001     0.708500
      1.72600       2.5350001     0.709000
      1.74100       2.5380001     0.709600
      1.75600       2.5420001     0.710200
      1.77100       2.5450001     0.710900
      1.78700       2.5490000     0.711500
      1.80200       2.5530000     0.712000
      1.81800       2.5560000     0.712300
      1.83400       2.5599999     0.712600
      1.85000       2.5639999     0.712900
      1.86600       2.5669999     0.713200
      1.88300       2.5699999     0.713600
      1.89900       2.5739999     0.714200
      1.91600       2.5769999     0.715100
      1.93200       2.5810001     0.716100
      1.94900       2.5850000     0.717100
      1.96600       2.5899999     0.717900
      1.98300       2.5940001     0.718400
      2.00100       2.5990000     0.718400
